,Latitude,Longitude,Speed,Temperature,Position time,Velocity
1,43.07658,5.97434,0.0,20.7,11:20:00,0.1439482101220783
2,43.07605,5.97485,0.0,20.8,11:30:00,0.12009563065533937
3,43.07556,5.97533,0.0,20.8,11:40:00,0.1116972262348596
4,43.07512,5.97587,0.0,20.8,11:50:00,0.10954679239582547
5,43.0747,5.97645,0.0,20.9,12:00:00,0.11059373435906714
6,43.0743,5.97709,0.0,20.9,12:10:00,0.11406027270721597
7,43.07384,5.97778,0.0,20.9,12:20:00,0.12650155662736898
8,43.07344,5.97849,0.0,20.9,12:30:00,0.12142034535666033
9,43.07312,5.97923,0.0,20.9,12:40:00,0.1164525239490998
10,43.07286,5.98,0.0,20.9,12:50:00,0.1148740542255819
11,43.07266,5.98082,0.0,21.0,13:00:00,0.11707057369950633
12,43.0725,5.98175,0.0,21.0,13:10:00,0.12938663428305416
13,43.0724,5.98264,0.0,21.1,13:20:00,0.12194172727846604
14,43.07252,5.98337,0.0,21.3,13:30:00,0.10132913930945502
15,43.07284,5.984,0.0,21.4,13:40:00,0.10391226859787461
16,43.07321,5.98469,0.0,21.4,13:50:00,0.11591262161083413
