,Station,Name,DepTime,DepLong,DepLat,RecovTime,RecovLong,RecovLat,DepDate,RecovDate,DrogDepth
0,1,273,10:28:00,5º 59.928' ,43º 4.8',14:05:00,5º 59.994,43º 5.342',11-11-2022,11-11-2022,1.0
1,1,9666,10:28:00,5º 59.928' ,43º 4.8',14:13:00,6º 0.194',43º 5.617',11-11-2022,11-11-2022,0.0
2,1,6439,10:28:00,5º 59.928' ,43º 4.8',14:10:00,5º 59.399',43º 5.403',11-11-2022,11-11-2022,0.6
3,2,274,10:42:00,5º 59.072',43º 4.695',13:39:00,5º 59.423',43º 4.929',11-11-2022,11-11-2022,1.0
4,2,8436,10:42:00,5º 59.072',43º 4.695',13:38:00,5º 59.282',43º 4.958,11-11-2022,11-11-2022,0.0
5,2,3368,10:42:00,5º 59.072',43º 4.695',13:35:00,5º 59.115',43º 4.993,11-11-2022,11-11-2022,0.6
6,3,7230,11:06:00,5º 58.405',43º 4.644',13:56:00,5º 59.158',43º 4.44',11-11-2022,11-11-2022,0.6
7,3,119,11:06:00,5º 58.405',43º 4.644',13:57:00,5º 59.192',43º 4.552',11-11-2022,11-11-2022,0.0
8,3,277,11:06:00,5º 58.405',43º 4.644',13:56:00,5º 59.158',43º 4.44',11-11-2022,11-11-2022,1.0
9,4,2052,11:43:00,6º 0.605',42º 59.533',12:14:00,-,-,11-11-2022,11-11-2022,0.6
