DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4409666,2022-10-11 12:46:54,GOOD,0-4409666,43.10279,5.91262
,,,,,
0-4409666,2022-10-11 12:42:07,GOOD,0-4409666,43.09285,5.91944
,,,,,
0-4409666,2022-10-11 12:37:08,GOOD,0-4409666,43.08898,5.93
,,,,,
0-4409666,2022-10-11 12:33:35,GOOD,0-4409666,43.09103,5.94019
,,,,,
0-4409666,2022-10-11 12:29:47,GOOD,0-4409666,43.0894,5.95397
,,,,,
0-4409666,2022-10-11 12:25:04,GOOD,0-4409666,43.09108,5.97109
,,,,,
0-4409666,2022-10-11 12:19:54,GOOD,0-4409666,43.09192,5.99015
,,,,,
0-4409666,2022-10-11 12:16:41,GOOD,0-4409666,43.09277,6.0018
,,,,,
0-4409666,2022-10-11 12:10:03,GOOD,0-4409666,43.09298,6.00319
,,,,,
0-4409666,2022-10-11 12:05:02,GOOD,0-4409666,43.09223,6.0033
,,,,,
0-4409666,2022-10-11 12:00:05,GOOD,0-4409666,43.09152,6.00347
,,,,,
0-4409666,2022-10-11 11:55:03,GOOD,0-4409666,43.09084,6.00364
,,,,,
0-4409666,2022-10-11 11:50:04,GOOD,0-4409666,43.09012,6.00388
,,,,,
0-4409666,2022-10-11 11:45:29,GOOD,0-4409666,43.08938,6.00405
,,,,,
0-4409666,2022-10-11 11:40:00,GOOD,0-4409666,43.08842,6.00435
,,,,,
0-4409666,2022-10-11 11:35:10,GOOD,0-4409666,43.08767,6.00441
,,,,,
0-4409666,2022-10-11 11:29:59,GOOD,0-4409666,43.08682,6.00461
,,,,,
0-4409666,2022-10-11 11:25:03,GOOD,0-4409666,43.08608,6.0048
,,,,,
0-4409666,2022-10-11 11:20:02,GOOD,0-4409666,43.08538,6.00497
,,,,,
0-4409666,2022-10-11 11:15:02,GOOD,0-4409666,43.08466,6.00521
,,,,,
0-4409666,2022-10-11 11:10:04,GOOD,0-4409666,43.08395,6.00544
,,,,,
0-4409666,2022-10-11 11:05:34,GOOD,0-4409666,43.08338,6.00562
,,,,,
0-4409666,2022-10-11 11:00:09,GOOD,0-4409666,43.08287,6.00564
,,,,,
0-4409666,2022-10-11 10:55:05,GOOD,0-4409666,43.08247,6.00542
,,,,,
0-4409666,2022-10-11 10:50:03,GOOD,0-4409666,43.08205,6.0051
,,,,,
0-4409666,2022-10-11 10:45:29,GOOD,0-4409666,43.08168,6.00471
,,,,,
0-4409666,2022-10-11 10:40:05,GOOD,0-4409666,43.08132,6.00426
,,,,,
0-4409666,2022-10-11 10:35:04,GOOD,0-4409666,43.08109,6.00384
,,,,,
0-4409666,2022-10-11 10:30:01,GOOD,0-4409666,43.08088,6.00351
,,,,,
0-4409666,2022-10-11 10:25:03,GOOD,0-4409666,43.08068,6.00319
,,,,,
0-4409666,2022-10-11 10:20:01,GOOD,0-4409666,43.08054,6.00291
,,,,,
0-4409666,2022-10-11 10:15:03,GOOD,0-4409666,43.08041,6.00263
,,,,,
0-4409666,2022-10-11 10:10:04,GOOD,0-4409666,43.08029,6.00235
,,,,,
0-4409666,2022-10-11 10:05:02,GOOD,0-4409666,43.08012,6.00212
,,,,,
0-4409666,2022-10-11 10:00:01,GOOD,0-4409666,43.08004,6.00186
,,,,,
0-4409666,2022-10-11 09:55:03,GOOD,0-4409666,43.07996,6.00167
,,,,,
0-4409666,2022-10-11 09:50:01,GOOD,0-4409666,43.07991,6.00147
,,,,,
0-4409666,2022-10-11 09:45:29,GOOD,0-4409666,43.07982,6.00124
,,,,,
0-4409666,2022-10-11 09:40:00,GOOD,0-4409666,43.07977,6.00098
,,,,,
0-4409666,2022-10-11 09:34:58,GOOD,0-4409666,43.07969,6.00077
,,,,,
0-4409666,2022-10-11 09:29:59,GOOD,0-4409666,43.07968,6.00062
,,,,,
0-4409666,2022-10-11 09:25:01,GOOD,0-4409666,43.0797,6.00051
,,,,,
0-4409666,2022-10-11 09:19:59,GOOD,0-4409666,43.07973,6.00038
,,,,,
0-4409666,2022-10-11 09:15:01,GOOD,0-4409666,43.07975,6.00025
,,,,,
0-4409666,2022-10-11 09:09:59,GOOD,0-4409666,43.07978,6.00017
,,,,,
0-4409666,2022-10-11 09:05:01,GOOD,0-4409666,43.07983,6.00008
,,,,,
0-4409666,2022-10-11 08:59:59,GOOD,0-4409666,43.07986,5.99993
,,,,,
0-4409666,2022-10-11 08:54:58,GOOD,0-4409666,43.0799,5.99974
,,,,,
0-4409666,2022-10-11 08:50:00,GOOD,0-4409666,43.07997,5.99948
,,,,,
0-4409666,2022-10-11 08:45:29,GOOD,0-4409666,43.08004,5.99924
,,,,,
0-4409666,2022-10-11 08:39:59,GOOD,0-4409666,43.08012,5.99896
,,,,,
0-4409666,2022-10-11 08:34:57,GOOD,0-4409666,43.08006,5.99879
,,,,,
0-4409666,2022-10-11 08:30:34,GOOD,0-4409666,43.08014,5.99866
,,,,,
0-4409666,2022-10-11 08:28:43,GOOD,0-4409666,43.08019,5.99871
,,,,,
0-4409666,2022-10-11 08:23:43,GOOD,0-4409666,43.08281,6.00412
,,,,,
0-4409666,2022-10-11 08:15:01,GOOD,0-4409666,43.08506,5.98959
,,,,,
0-4409666,2022-10-11 08:10:29,GOOD,0-4409666,43.08555,5.97834
,,,,,
0-4409666,2022-10-11 08:08:39,GOOD,0-4409666,43.08576,5.97377
,,,,,
0-4409666,2022-10-11 08:03:39,GOOD,0-4409666,43.08638,5.9609
,,,,,
0-4409666,2022-10-11 07:58:36,GOOD,0-4409666,43.08693,5.94777
,,,,,
0-4409666,2022-10-11 07:49:50,GOOD,0-4409666,43.08749,5.92496
,,,,,
0-4409666,2022-10-11 07:44:51,GOOD,0-4409666,43.0959,5.92019
,,,,,
0-4409666,2022-10-11 07:42:22,GOOD,0-4409666,43.09977,5.91762
