,Station,Name,DepDate,DepTime,DepLat,RecovDate,RecovTime,DepLong,RecovLong,RecovLat,DrogDepth
0,1,274,12-11-2022,09:47:00,43°4.655,12-11-2022,12:40:00,5°58.363,5.0°57.564,43.0°4.783,1.0
1,1,8436,12-11-2022,09:47:00,43°4.655,12-11-2022,12:32:00,5°58.363,5.0°57.185,43.0°4.708,0.0
2,1,6439,12-11-2022,09:47:00,43°4.655,12-11-2022,12:42:00,5°58.363,5.0°57.571,43.0°4.803,0.6
3,2,273,12-11-2022,09:59:00,43°4.723,12-11-2022,14:03:00,5°59.055,5.0°57.743,43.0°5.145,1.0
4,2,7230,12-11-2022,09:59:00,43°4.723,12-11-2022,13:59:00,5°59.055,5.0°57.955,43.0°5.144,0.6
5,2,119,12-11-2022,09:59:00,43°4.723,12-11-2022,14:12:00,5°59.055,5.0°56.777,43.0°5.185,0.0
6,3,277,12-11-2022,10:16:00,43°4.809,12-11-2022,13:45:00,5°59.956,5.0°58.864,43.0°5.309,1.0
7,3,2052,12-11-2022,10:16:00,43°4.809,12-11-2022,13:52:00,5°59.956,5.0°58.161,43.0°5.361,0.0
8,3,3368,12-11-2022,10:16:00,43°4.809,12-11-2022,13:43:00,5°59.956,5.0°59.034,43.0°5.274,0.6
9,4,9666,12-11-2022,10:55:00,42°59.547,12-11-2022,,6°0.678,nan°nan,nan°nan,0.6
