Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-12 07:20:00,2022-10-12 07:20:21,43.10374,5.91212,4.16667,102.2,1,4.108,16.1
2022-10-12 07:30:00,2022-10-12 07:30:19,43.08793,5.92784,4.00278,85.9,1,4.107,16.9
2022-10-12 07:40:00,2022-10-12 07:40:26,43.08135,5.95918,4.58333,120.2,1,4.105,17.2
2022-10-12 07:50:00,2022-10-12 07:50:13,43.07754,5.97256,0,290.2,1,4.104,17.6
2022-10-12 08:00:00,2022-10-12 08:00:20,43.07886,5.98378,0.59722,276.3,1,4.102,18
2022-10-12 08:10:00,2022-10-12 08:10:16,43.07883,5.98338,0,269.1,1,4.103,20.7
2022-10-12 08:20:01,2022-10-12 08:20:12,43.07884,5.98265,0,192.2,1,4.101,20.8
2022-10-12 08:30:01,2022-10-12 08:30:12,43.07894,5.98194,0,333.1,1,4.1,20.8
2022-10-12 08:40:00,2022-10-12 08:40:26,43.07902,5.98133,0,293,1,4.1,20.8
2022-10-12 08:50:00,2022-10-12 08:50:12,43.07904,5.98079,0.14444,79.2,1,4.099,20.9
2022-10-12 09:00:00,2022-10-12 09:00:20,43.07915,5.98017,0,0,1,4.1,20.8
2022-10-12 09:10:00,2022-10-12 09:10:11,43.0792,5.97959,0,239.8,1,4.097,20.9
2022-10-12 09:20:00,2022-10-12 09:20:20,43.07928,5.97895,0,349.1,1,4.097,20.9
2022-10-12 09:30:00,2022-10-12 09:30:11,43.07942,5.97832,0,0,1,4.096,20.9
2022-10-12 09:40:00,2022-10-12 09:40:21,43.07965,5.97754,0,0,1,4.097,20.9
2022-10-12 09:50:00,2022-10-12 09:50:25,43.07996,5.9767,0,341,1,4.096,21
2022-10-12 10:00:00,2022-10-12 10:00:17,43.0803,5.97576,0,266.3,1,4.094,20.9
2022-10-12 10:10:00,2022-10-12 10:10:17,43.08072,5.97479,0,267.2,1,4.095,20.9
2022-10-12 10:20:00,2022-10-12 10:20:14,43.08113,5.97384,0,309.1,1,4.095,20.9
2022-10-12 10:30:00,2022-10-12 10:30:11,43.08153,5.97287,0,309.3,1,4.093,20.9
2022-10-12 10:40:00,2022-10-12 10:40:27,43.08185,5.97192,0,256,1,4.094,20.9
2022-10-12 10:50:00,2022-10-12 10:50:12,43.08222,5.97082,0,283.3,1,4.093,20.9
2022-10-12 11:00:00,2022-10-12 11:00:39,43.08264,5.9697,0,27.8,1,4.091,20.9
2022-10-12 11:10:00,2022-10-12 11:10:12,43.08303,5.96851,0.85833,288,1,4.092,20.9
2022-10-12 11:20:00,2022-10-12 11:20:12,43.08357,5.96738,0,315,1,4.092,20.9
2022-10-12 11:30:00,2022-10-12 11:30:10,43.08403,5.96628,0,189.7,1,4.09,20.9
2022-10-12 11:40:00,2022-10-12 11:40:31,43.08446,5.96517,0,314.7,1,4.091,20.9
2022-10-12 11:50:00,2022-10-12 11:50:16,43.08492,5.96416,0,78.2,1,4.091,20.9
2022-10-12 12:00:00,2022-10-12 12:00:16,43.08536,5.963,0,20.5,1,4.09,20.9
