,Station,Name,DepDate,DepTime,DepLong,DepLat,RecovDate,RecovTime,RecovLong,RecovLat,DrogDepth
0,1,3368,13-11-2022,09:54:00,005°59.972,"43°4,813",13-11-2022,14:39:00,005°59.593,43°5.133,0.0
1,1,274,13-11-2022,09:54:00,005°59.972,"43°4,813",13-11-2022,02:41:00,005°59.716,43°5.224,1.0
2,1,2052,13-11-2022,09:54:00,005°59.972,"43°4,813",13-11-2022,14:45:00,006°0.041,43°5.421,0.0
3,2,279,13-11-2022,10:03:00,005°58.987,43°4.686,13-11-2022,13:58:00,005°58.501,43°4.335,1.0
4,2,6439,13-11-2022,10:03:00,005°58.987,43°4.686,13-11-2022,13:55:00,005°58.499,43°4.402,0.6
5,2,8436,13-11-2022,10:03:00,005°58.987,43°4.686,13-11-2022,13:52:00,005°58.677,43°4.495,0.0
6,3,119,13-11-2022,10:21:00,005°58.416,43°4.669,13-11-2022,14:30:00,005°58.209,43°4.851,0.6
7,3,7230,13-11-2022,10:21:00,005°58.416,43°4.669,13-11-2022,14:22:00,005°58.569,43°4.882,0.0
8,3,273,13-11-2022,10:21:00,005°58.416,43°4.669,13-11-2022,14:24:00,005°58.265,43°4.949,1.0
9,4,9666,,,nan,nan,13-11-2022,11:39:00,005°45.322,42°58.672,0.6
