Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Battery (V),Temperature (°C)
2022-10-11 07:20:00,2022-10-11 07:20:09,43.1056,5.8854,0,153.3,1,4.16,17.9
2022-10-11 07:30:00,2022-10-11 07:30:07,43.10486,5.89244,3.00833,70.8,1,4.159,18.2
2022-10-11 07:40:00,2022-10-11 07:40:08,43.1016,5.91377,3.04167,112.4,1,4.16,18.2
2022-10-11 07:50:00,2022-10-11 07:50:11,43.10589,5.98139,0,0,0,4.158,18.2
2022-10-11 08:00:00,2022-10-11 08:00:25,43.10589,5.98139,0,0,0,4.157,18.2
2022-10-11 08:10:00,2022-10-11 08:10:16,43.08555,5.97816,3.67222,94.3,1,4.156,18.2
2022-10-11 08:20:00,2022-10-11 08:20:44,43.10589,5.98139,0,0,0,4.155,18.3
2022-10-11 08:30:00,2022-10-11 08:30:41,43.0798,5.99897,0,148.8,1,4.154,18.5
2022-10-11 08:40:00,2022-10-11 09:00:11,43.08026,5.98936,0,0,0,4.148,18.7
2022-10-11 08:50:00,2022-10-11 09:00:10,43.08026,5.98936,0,0,0,4.151,19.1
2022-10-11 09:00:00,2022-10-11 09:00:08,43.07668,5.97281,0,247.5,1,4.13,19.1
2022-10-11 09:10:00,2022-10-11 09:10:09,43.0772,5.9737,0,84.4,1,4.129,20.6
2022-10-11 09:20:00,2022-10-11 09:20:12,43.07658,5.97434,0,129.9,1,4.128,20.7
2022-10-11 09:30:00,2022-10-11 09:30:08,43.07605,5.97485,0,251.3,1,4.127,20.8
2022-10-11 09:40:00,2022-10-11 09:40:09,43.07556,5.97533,0,178.3,1,4.125,20.8
2022-10-11 09:50:00,2022-10-11 09:50:18,43.07512,5.97587,0,121.4,1,4.124,20.8
2022-10-11 10:00:00,2022-10-11 10:00:10,43.0747,5.97645,0,94.8,1,4.123,20.9
2022-10-11 10:10:00,2022-10-11 10:10:10,43.0743,5.97709,0,115.1,1,4.121,20.9
2022-10-11 10:20:00,2022-10-11 10:20:58,43.07384,5.97778,0,108.6,1,4.12,20.9
2022-10-11 10:30:00,2022-10-11 10:30:09,43.07344,5.97849,0,249.5,1,4.12,20.9
2022-10-11 10:40:00,2022-10-11 10:40:16,43.07312,5.97923,0,71,1,4.117,20.9
2022-10-11 10:50:00,2022-10-11 10:50:17,43.07286,5.98,0,22.3,1,4.117,20.9
2022-10-11 11:00:00,2022-10-11 11:00:11,43.07266,5.98082,0,125.7,1,4.115,21
2022-10-11 11:10:00,2022-10-11 11:10:14,43.0725,5.98175,0,87.1,1,4.114,21
2022-10-11 11:20:00,2022-10-11 11:20:18,43.0724,5.98264,0,16.7,1,4.112,21.1
2022-10-11 11:30:00,2022-10-11 11:30:08,43.07252,5.98337,0,345.4,1,4.111,21.3
2022-10-11 11:40:00,2022-10-11 11:40:25,43.07284,5.984,0,7.8,1,4.11,21.4
2022-10-11 11:50:00,2022-10-11 11:50:08,43.07321,5.98469,0,102.8,1,4.109,21.4
