DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4406439,2022-10-11 12:41:25,GOOD,0-4406439,43.09131,5.92039
,,,,,
0-4406439,2022-10-11 12:36:25,GOOD,0-4406439,43.08952,5.93165
,,,,,
0-4406439,2022-10-11 12:32:06,GOOD,0-4406439,43.0903,5.94543
,,,,,
0-4406439,2022-10-11 12:25:37,GOOD,0-4406439,43.09118,5.96901
,,,,,
0-4406439,2022-10-11 12:20:36,GOOD,0-4406439,43.09173,5.98757
,,,,,
0-4406439,2022-10-11 12:15:36,GOOD,0-4406439,43.09324,6.00409
,,,,,
0-4406439,2022-10-11 12:11:10,GOOD,0-4406439,43.08904,5.99999
,,,,,
0-4406439,2022-10-11 12:05:14,GOOD,0-4406439,43.08983,5.99006
,,,,,
0-4406439,2022-10-11 12:00:15,GOOD,0-4406439,43.0896,5.99053
,,,,,
0-4406439,2022-10-11 11:55:12,GOOD,0-4406439,43.08938,5.99102
,,,,,
0-4406439,2022-10-11 11:50:15,GOOD,0-4406439,43.08922,5.99139
,,,,,
0-4406439,2022-10-11 11:45:12,GOOD,0-4406439,43.08907,5.9921
,,,,,
0-4406439,2022-10-11 11:40:10,GOOD,0-4406439,43.08904,5.9927
,,,,,
0-4406439,2022-10-11 11:35:11,GOOD,0-4406439,43.0891,5.99332
,,,,,
0-4406439,2022-10-11 11:30:37,GOOD,0-4406439,43.08895,5.99375
,,,,,
0-4406439,2022-10-11 11:25:12,GOOD,0-4406439,43.08853,5.99433
,,,,,
0-4406439,2022-10-11 11:20:10,GOOD,0-4406439,43.08815,5.99487
,,,,,
0-4406439,2022-10-11 11:15:12,GOOD,0-4406439,43.08775,5.99542
,,,,,
0-4406439,2022-10-11 11:10:12,GOOD,0-4406439,43.08731,5.99598
,,,,,
0-4406439,2022-10-11 11:05:14,GOOD,0-4406439,43.08686,5.99652
,,,,,
0-4406439,2022-10-11 11:00:13,GOOD,0-4406439,43.08644,5.99703
,,,,,
0-4406439,2022-10-11 10:55:16,GOOD,0-4406439,43.08604,5.99751
,,,,,
0-4406439,2022-10-11 10:50:16,GOOD,0-4406439,43.08561,5.99798
,,,,,
0-4406439,2022-10-11 10:45:18,GOOD,0-4406439,43.08521,5.99841
,,,,,
0-4406439,2022-10-11 10:40:18,GOOD,0-4406439,43.0848,5.99879
,,,,,
0-4406439,2022-10-11 10:35:20,GOOD,0-4406439,43.08446,5.99907
,,,,,
0-4406439,2022-10-11 10:30:55,GOOD,0-4406439,43.08418,5.99937
,,,,,
0-4406439,2022-10-11 10:25:20,GOOD,0-4406439,43.0838,5.99984
,,,,,
0-4406439,2022-10-11 10:20:22,GOOD,0-4406439,43.08342,6.00025
,,,,,
0-4406439,2022-10-11 10:15:21,GOOD,0-4406439,43.08306,6.00064
,,,,,
0-4406439,2022-10-11 10:10:20,GOOD,0-4406439,43.0827,6.00085
,,,,,
0-4406439,2022-10-11 10:05:22,GOOD,0-4406439,43.08242,6.00092
,,,,,
0-4406439,2022-10-11 10:00:21,GOOD,0-4406439,43.08228,6.00105
,,,,,
0-4406439,2022-10-11 09:55:21,GOOD,0-4406439,43.08212,6.0012
,,,,,
0-4406439,2022-10-11 09:50:20,GOOD,0-4406439,43.08171,6.0015
,,,,,
0-4406439,2022-10-11 09:45:22,GOOD,0-4406439,43.08146,6.0016
,,,,,
0-4406439,2022-10-11 09:40:24,GOOD,0-4406439,43.0813,6.00167
,,,,,
0-4406439,2022-10-11 09:35:22,GOOD,0-4406439,43.0812,6.00169
,,,,,
0-4406439,2022-10-11 09:30:57,GOOD,0-4406439,43.08114,6.00163
,,,,,
0-4406439,2022-10-11 09:25:22,GOOD,0-4406439,43.08104,6.00147
,,,,,
0-4406439,2022-10-11 09:20:22,GOOD,0-4406439,43.08103,6.00137
,,,,,
0-4406439,2022-10-11 09:15:23,GOOD,0-4406439,43.08096,6.00132
,,,,,
0-4406439,2022-10-11 09:10:22,GOOD,0-4406439,43.08089,6.00111
,,,,,
0-4406439,2022-10-11 09:05:24,GOOD,0-4406439,43.08081,6.00092
,,,,,
0-4406439,2022-10-11 09:00:22,GOOD,0-4406439,43.08068,6.00068
,,,,,
0-4406439,2022-10-11 08:55:25,GOOD,0-4406439,43.08056,6.00038
,,,,,
0-4406439,2022-10-11 08:50:26,GOOD,0-4406439,43.08047,6.00004
,,,,,
0-4406439,2022-10-11 08:45:25,GOOD,0-4406439,43.0804,5.99967
,,,,,
0-4406439,2022-10-11 08:40:23,GOOD,0-4406439,43.08028,5.99931
,,,,,
0-4406439,2022-10-11 08:35:25,GOOD,0-4406439,43.08017,5.99899
,,,,,
0-4406439,2022-10-11 08:30:59,GOOD,0-4406439,43.08009,5.99875
,,,,,
